Месяц,Фидер,"Отпуск в сеть, кВт·ч","Полезный отпуск, кВт·ч","Потери, кВт·ч","Потери, %","Отключения, шт"
2026-01,Фидер 204,1053413,877310,176103,16.72,1
2026-01,Фидер 205,1063815,965450,98365,9.25,3
2026-02,Фидер 101,871149,790520,80629,9.26,4
2026-02,Фидер 102,1008995,913695,95300,9.45,3
2026-02,Фидер 103,827947,755906,72041,8.7,3
2026-02,Фидер 104,988146,915484,72662,7.35,4
2026-02,Фидер 105,893186,820029,73157,8.19,4
2026-02,Фидер 201,968368,894710,73658,7.61,4
2026-02,Фидер 202,1003616,913286,90330,9.0,0
2026-02,Фидер 203,1007320,936616,70704,7.02,3
2026-02,Фидер 204,977537,829879,147658,15.11,2
2026-02,Фидер 205,974763,896189,78574,8.06,0
2026-03,Фидер 101,777100,704165,72935,9.39,2
2026-03,Фидер 102,850270,776819,73451,8.64,1
2026-03,Фидер 103,850373,782424,67949,7.99,2
2026-03,Фидер 104,895679,829594,66085,7.38,3
2026-03,Фидер 105,786282,718150,68132,8.67,0
2026-03,Фидер 201,776868,722291,54577,7.03,3
2026-03,Фидер 202,769269,710312,58957,7.66,0
2026-03,Фидер 203,855538,779654,75884,8.87,1
2026-03,Фидер 204,741924,633482,108442,14.62,0
2026-03,Фидер 205,773569,719922,53647,6.94,3
2026-04,Фидер 101,662824,615139,47685,7.19,3
2026-04,Фидер 102,692960,641008,51952,7.5,1
2026-04,Фидер 103,723151,659236,63915,8.84,0
2026-04,Фидер 104,654367,598349,56018,8.56,4
2026-04,Фидер 105,667909,605997,61912,9.27,0
2026-04,Фидер 201,726629,665841,60788,8.37,4
2026-04,Фидер 202,667832,606629,61203,9.16,4
2026-04,Фидер 203,669255,605930,63325,9.46,0
2026-04,Фидер 204,700858,607874,92984,13.27,1
2026-04,Фидер 205,627472,581675,45797,7.3,1
2026-05,Фидер 101,627204,568143,59061,9.42,0
2026-05,Фидер 102,633355,581700,51655,8.16,2
2026-05,Фидер 103,514252,448068,66184,12.87,2
2026-05,Фидер 104,517560,473193,44367,8.57,3
2026-05,Фидер 105,440842,400107,40735,9.24,2
2026-05,Фидер 201,586390,546958,39432,6.72,1
2026-05,Фидер 202,583249,544360,38889,6.67,2
2026-05,Фидер 203,545900,509459,36441,6.68,3
2026-05,Фидер 204,547843,472805,75038,13.7,2
2026-05,Фидер 205,551023,501296,49727,9.02,2
2026-06,Фидер 101,580520,528859,51661,8.9,4
2026-06,Фидер 102,544386,500848,43538,8.0,2
2026-06,Фидер 103,467126,404386,62740,13.43,1
2026-06,Фидер 104,431011,394430,36581,8.49,0
2026-06,Фидер 105,546097,498311,47786,8.75,1
2026-06,Фидер 201,509709,474731,34978,6.86,4
2026-06,Фидер 202,537528,495722,41806,7.78,0
2026-06,Фидер 203,529539,491679,37860,7.15,3
2026-06,Фидер 204,627098,530298,96800,15.44,2
2026-06,Фидер 205,506882,458849,48033,9.48,0
2026-07,Фидер 101,594496,538319,56177,9.45,1
2026-07,Фидер 102,612840,557563,55277,9.02,1
2026-07,Фидер 103,571859,507797,64062,11.2,3
2026-07,Фидер 104,509197,473924,35273,6.93,3
2026-07,Фидер 105,488326,448931,39395,8.07,4
2026-07,Фидер 201,538446,497016,41430,7.69,3
2026-07,Фидер 202,611309,553753,57556,9.42,2
2026-07,Фидер 203,532437,485722,46715,8.77,2
2026-07,Фидер 204,519602,444049,75553,14.54,3
2026-07,Фидер 205,554418,510805,43613,7.87,2
2026-08,Фидер 101,577744,525252,52492,9.09,3
2026-08,Фидер 102,633989,587540,46449,7.33,4
2026-08,Фидер 103,640703,562186,78517,12.25,0
2026-08,Фидер 104,691508,631741,59767,8.64,2
2026-08,Фидер 105,762923,708762,54161,7.1,1
2026-08,Фидер 201,668360,621901,46459,6.95,2
2026-08,Фидер 202,707121,644981,62140,8.79,0
2026-08,Фидер 203,602856,556997,45859,7.61,0
2026-08,Фидер 204,653977,551313,102664,15.7,2
2026-08,Фидер 205,652710,591992,60718,9.3,1
