Месяц,Позиция,Категория,Канал,"Продано, шт","Цена, ₽","Выручка, ₽","Возвраты, шт"
2025-10,Футболка принт,футболки,Сайт,20,2400,48000,0
2025-10,Футболка принт,футболки,Wildberries,54,2400,129600,2
2025-10,Футболка принт,футболки,Ozon,25,2400,60000,2
2025-10,Футболка принт,футболки,Шоурум,10,2400,24000,0
2025-10,Свитшот,свитшоты,Сайт,22,4200,92400,0
2025-10,Свитшот,свитшоты,Wildberries,48,4200,201600,2
2025-10,Свитшот,свитшоты,Ozon,26,4200,109200,0
2025-10,Свитшот,свитшоты,Шоурум,10,4200,42000,0
2025-10,Брюки карго,брюки,Сайт,17,5900,100300,0
2025-10,Брюки карго,брюки,Wildberries,37,5900,218300,3
2025-10,Брюки карго,брюки,Ozon,19,5900,112100,1
2025-10,Брюки карго,брюки,Шоурум,7,5900,41300,0
2025-10,Шорты,шорты,Сайт,16,2900,46400,0
2025-10,Шорты,шорты,Wildberries,43,2900,124700,1
2025-10,Шорты,шорты,Ozon,14,2900,40600,1
2025-10,Шорты,шорты,Шоурум,8,2900,23200,0
2025-10,Кепка,аксессуары,Сайт,17,1500,25500,0
2025-10,Кепка,аксессуары,Wildberries,53,1500,79500,3
2025-10,Кепка,аксессуары,Ozon,26,1500,39000,3
2025-10,Кепка,аксессуары,Шоурум,12,1500,18000,0
2025-10,Шапка бини,аксессуары,Сайт,17,1700,28900,0
2025-10,Шапка бини,аксессуары,Wildberries,36,1700,61200,1
2025-10,Шапка бини,аксессуары,Ozon,32,1700,54400,2
2025-10,Шапка бини,аксессуары,Шоурум,13,1700,22100,0
2025-10,Костюм спорт,костюмы,Сайт,26,8900,231400,0
2025-10,Костюм спорт,костюмы,Wildberries,37,8900,329300,1
2025-10,Костюм спорт,костюмы,Ozon,22,8900,195800,2
2025-10,Костюм спорт,костюмы,Шоурум,9,8900,80100,0
2025-11,Худи oversize,худи,Сайт,32,4900,156800,0
2025-11,Худи oversize,худи,Wildberries,54,4900,264600,2
2025-11,Худи oversize,худи,Ozon,35,4900,171500,3
2025-11,Худи oversize,худи,Шоурум,16,4900,78400,0
2025-11,Худи zip,худи,Сайт,24,5400,129600,0
2025-11,Худи zip,худи,Wildberries,59,5400,318600,3
2025-11,Худи zip,худи,Ozon,31,5400,167400,2
2025-11,Худи zip,худи,Шоурум,13,5400,70200,0
2025-11,Футболка базовая,футболки,Сайт,16,1900,30400,0
2025-11,Футболка базовая,футболки,Wildberries,26,1900,49400,1
2025-11,Футболка базовая,футболки,Ozon,25,1900,47500,0
2025-11,Футболка базовая,футболки,Шоурум,11,1900,20900,0
2025-11,Футболка принт,футболки,Сайт,6,2400,14400,0
2025-11,Футболка принт,футболки,Wildberries,37,2400,88800,3
2025-11,Футболка принт,футболки,Ozon,29,2400,69600,1
2025-11,Футболка принт,футболки,Шоурум,8,2400,19200,0
2025-11,Свитшот,свитшоты,Сайт,29,4200,121800,0
2025-11,Свитшот,свитшоты,Wildberries,76,4200,319200,6
2025-11,Свитшот,свитшоты,Ozon,31,4200,130200,3
2025-11,Свитшот,свитшоты,Шоурум,14,4200,58800,0
2025-11,Брюки карго,брюки,Сайт,21,5900,123900,0
2025-11,Брюки карго,брюки,Wildberries,48,5900,283200,3
2025-11,Брюки карго,брюки,Ozon,17,5900,100300,0
2025-11,Брюки карго,брюки,Шоурум,8,5900,47200,0
2025-11,Шорты,шорты,Сайт,4,2900,11600,0
2025-11,Шорты,шорты,Wildberries,30,2900,87000,1
2025-11,Шорты,шорты,Ozon,16,2900,46400,0
2025-11,Шорты,шорты,Шоурум,9,2900,26100,0
2025-11,Кепка,аксессуары,Сайт,17,1500,25500,0
2025-11,Кепка,аксессуары,Wildberries,53,1500,79500,2
2025-11,Кепка,аксессуары,Ozon,28,1500,42000,1
2025-11,Кепка,аксессуары,Шоурум,6,1500,9000,0
2025-11,Шапка бини,аксессуары,Сайт,32,1700,54400,0
2025-11,Шапка бини,аксессуары,Wildberries,85,1700,144500,9
2025-11,Шапка бини,аксессуары,Ozon,54,1700,91800,4
2025-11,Шапка бини,аксессуары,Шоурум,18,1700,30600,0
2025-11,Костюм спорт,костюмы,Сайт,25,8900,222500,0
2025-11,Костюм спорт,костюмы,Wildberries,90,8900,801000,3
2025-11,Костюм спорт,костюмы,Ozon,34,8900,302600,3
2025-11,Костюм спорт,костюмы,Шоурум,13,8900,115700,0
2025-12,Худи oversize,худи,Сайт,35,4900,171500,0
2025-12,Худи oversize,худи,Wildberries,68,4900,333200,5
2025-12,Худи oversize,худи,Ozon,37,4900,181300,2
2025-12,Худи oversize,худи,Шоурум,14,4900,68600,0
2025-12,Худи zip,худи,Сайт,33,5400,178200,0
2025-12,Худи zip,худи,Wildberries,65,5400,351000,5
2025-12,Худи zip,худи,Ozon,37,5400,199800,4
2025-12,Худи zip,худи,Шоурум,13,5400,70200,0
2025-12,Футболка базовая,футболки,Сайт,23,1900,43700,0
2025-12,Футболка базовая,футболки,Wildberries,46,1900,87400,4
2025-12,Футболка базовая,футболки,Ozon,14,1900,26600,1
2025-12,Футболка базовая,футболки,Шоурум,7,1900,13300,0
2025-12,Футболка принт,футболки,Сайт,11,2400,26400,0
2025-12,Футболка принт,футболки,Wildberries,47,2400,112800,5
2025-12,Футболка принт,футболки,Ozon,12,2400,28800,0
2025-12,Футболка принт,футболки,Шоурум,6,2400,14400,0
2025-12,Свитшот,свитшоты,Сайт,29,4200,121800,0
2025-12,Свитшот,свитшоты,Wildberries,44,4200,184800,3
2025-12,Свитшот,свитшоты,Ozon,33,4200,138600,3
2025-12,Свитшот,свитшоты,Шоурум,13,4200,54600,0
2025-12,Брюки карго,брюки,Сайт,16,5900,94400,0
2025-12,Брюки карго,брюки,Wildberries,53,5900,312700,4
2025-12,Брюки карго,брюки,Ozon,17,5900,100300,1
2025-12,Брюки карго,брюки,Шоурум,6,5900,35400,0
2025-12,Шорты,шорты,Сайт,16,2900,46400,0
2025-12,Шорты,шорты,Wildberries,36,2900,104400,3
2025-12,Шорты,шорты,Ozon,20,2900,58000,0
2025-12,Шорты,шорты,Шоурум,13,2900,37700,0
2025-12,Кепка,аксессуары,Сайт,23,1500,34500,0
2025-12,Кепка,аксессуары,Wildberries,59,1500,88500,4
2025-12,Кепка,аксессуары,Ozon,21,1500,31500,0
2025-12,Кепка,аксессуары,Шоурум,7,1500,10500,0
2025-12,Шапка бини,аксессуары,Сайт,35,1700,59500,0
2025-12,Шапка бини,аксессуары,Wildberries,73,1700,124100,3
2025-12,Шапка бини,аксессуары,Ozon,47,1700,79900,3
2025-12,Шапка бини,аксессуары,Шоурум,17,1700,28900,0
2025-12,Костюм спорт,костюмы,Сайт,29,8900,258100,0
2025-12,Костюм спорт,костюмы,Wildberries,64,8900,569600,5
2025-12,Костюм спорт,костюмы,Ozon,33,8900,293700,2
2025-12,Костюм спорт,костюмы,Шоурум,14,8900,124600,0
2026-01,Худи oversize,худи,Сайт,39,4900,191100,0
2026-01,Худи oversize,худи,Wildberries,62,4900,303800,3
2026-01,Худи oversize,худи,Ozon,45,4900,220500,1
2026-01,Худи oversize,худи,Шоурум,15,4900,73500,0
2026-01,Худи zip,худи,Сайт,29,5400,156600,0
2026-01,Худи zip,худи,Wildberries,71,5400,383400,3
2026-01,Худи zip,худи,Ozon,29,5400,156600,1
2026-01,Худи zip,худи,Шоурум,14,5400,75600,0
2026-01,Футболка базовая,футболки,Сайт,23,1900,43700,0
2026-01,Футболка базовая,футболки,Wildberries,46,1900,87400,4
2026-01,Футболка базовая,футболки,Ozon,21,1900,39900,1
2026-01,Футболка базовая,футболки,Шоурум,7,1900,13300,0
2026-01,Футболка принт,футболки,Сайт,19,2400,45600,0
2026-01,Футболка принт,футболки,Wildberries,42,2400,100800,3
2026-01,Футболка принт,футболки,Ozon,18,2400,43200,1
2026-01,Футболка принт,футболки,Шоурум,5,2400,12000,0
2026-01,Свитшот,свитшоты,Сайт,25,4200,105000,0
2026-01,Свитшот,свитшоты,Wildberries,62,4200,260400,5
2026-01,Свитшот,свитшоты,Ozon,35,4200,147000,1
2026-01,Свитшот,свитшоты,Шоурум,14,4200,58800,0
2026-01,Брюки карго,брюки,Сайт,12,5900,70800,0
2026-01,Брюки карго,брюки,Wildberries,39,5900,230100,2
2026-01,Брюки карго,брюки,Ozon,12,5900,70800,1
2026-01,Брюки карго,брюки,Шоурум,9,5900,53100,0
2026-01,Шорты,шорты,Сайт,15,2900,43500,0
2026-01,Шорты,шорты,Wildberries,58,2900,168200,2
2026-01,Шорты,шорты,Ozon,19,2900,55100,2
2026-01,Шорты,шорты,Шоурум,11,2900,31900,0
2026-01,Кепка,аксессуары,Сайт,12,1500,18000,0
2026-01,Кепка,аксессуары,Wildberries,46,1500,69000,3
2026-01,Кепка,аксессуары,Ozon,25,1500,37500,1
2026-01,Кепка,аксессуары,Шоурум,7,1500,10500,0
2026-01,Шапка бини,аксессуары,Сайт,35,1700,59500,0
2026-01,Шапка бини,аксессуары,Wildberries,75,1700,127500,5
2026-01,Шапка бини,аксессуары,Ozon,50,1700,85000,1
2026-01,Шапка бини,аксессуары,Шоурум,19,1700,32300,0
2026-01,Костюм спорт,костюмы,Сайт,34,8900,302600,0
2026-01,Костюм спорт,костюмы,Wildberries,43,8900,382700,4
2026-01,Костюм спорт,костюмы,Ozon,35,8900,311500,2
2026-01,Костюм спорт,костюмы,Шоурум,16,8900,142400,0
2026-02,Худи oversize,худи,Сайт,37,4900,181300,0
2026-02,Худи oversize,худи,Wildberries,73,4900,357700,7
2026-02,Худи oversize,худи,Ozon,28,4900,137200,3
2026-02,Худи oversize,худи,Шоурум,16,4900,78400,0
2026-02,Худи zip,худи,Сайт,25,5400,135000,0
2026-02,Худи zip,худи,Wildberries,57,5400,307800,4
2026-02,Худи zip,худи,Ozon,39,5400,210600,4
2026-02,Худи zip,худи,Шоурум,10,5400,54000,0
2026-02,Футболка базовая,футболки,Сайт,19,1900,36100,0
2026-02,Футболка базовая,футболки,Wildberries,29,1900,55100,1
2026-02,Футболка базовая,футболки,Ozon,20,1900,38000,1
2026-02,Футболка базовая,футболки,Шоурум,9,1900,17100,0
2026-02,Футболка принт,футболки,Сайт,21,2400,50400,0
2026-02,Футболка принт,футболки,Wildberries,46,2400,110400,2
2026-02,Футболка принт,футболки,Ozon,24,2400,57600,1
2026-02,Футболка принт,футболки,Шоурум,5,2400,12000,0
2026-02,Свитшот,свитшоты,Сайт,29,4200,121800,0
2026-02,Свитшот,свитшоты,Wildberries,61,4200,256200,5
2026-02,Свитшот,свитшоты,Ozon,34,4200,142800,3
2026-02,Свитшот,свитшоты,Шоурум,12,4200,50400,0
2026-02,Брюки карго,брюки,Сайт,17,5900,100300,0
2026-02,Брюки карго,брюки,Wildberries,32,5900,188800,3
2026-02,Брюки карго,брюки,Ozon,22,5900,129800,0
2026-02,Брюки карго,брюки,Шоурум,10,5900,59000,0
2026-02,Шорты,шорты,Сайт,24,2900,69600,0
2026-02,Шорты,шорты,Wildberries,14,2900,40600,0
2026-02,Шорты,шорты,Ozon,29,2900,84100,1
2026-02,Шорты,шорты,Шоурум,8,2900,23200,0
2026-02,Кепка,аксессуары,Сайт,15,1500,22500,0
2026-02,Кепка,аксессуары,Wildberries,30,1500,45000,1
2026-02,Кепка,аксессуары,Ozon,21,1500,31500,2
2026-02,Кепка,аксессуары,Шоурум,8,1500,12000,0
2026-02,Шапка бини,аксессуары,Сайт,28,1700,47600,0
2026-02,Шапка бини,аксессуары,Wildberries,36,1700,61200,3
2026-02,Шапка бини,аксессуары,Ozon,26,1700,44200,1
2026-02,Шапка бини,аксессуары,Шоурум,8,1700,13600,0
2026-02,Костюм спорт,костюмы,Сайт,23,8900,204700,0
2026-02,Костюм спорт,костюмы,Wildberries,59,8900,525100,6
2026-02,Костюм спорт,костюмы,Ozon,37,8900,329300,3
2026-02,Костюм спорт,костюмы,Шоурум,16,8900,142400,0
2026-03,Худи oversize,худи,Сайт,26,4900,127400,0
2026-03,Худи oversize,худи,Wildberries,14,4900,68600,1
2026-03,Худи oversize,худи,Ozon,17,4900,83300,1
2026-03,Худи oversize,худи,Шоурум,11,4900,53900,0
2026-03,Худи zip,худи,Сайт,15,5400,81000,0
2026-03,Худи zip,худи,Wildberries,15,5400,81000,0
2026-03,Худи zip,худи,Ozon,15,5400,81000,0
2026-03,Худи zip,худи,Шоурум,6,5400,32400,0
2026-03,Футболка базовая,футболки,Сайт,15,1900,28500,0
2026-03,Футболка базовая,футболки,Wildberries,19,1900,36100,1
2026-03,Футболка базовая,футболки,Ozon,21,1900,39900,2
2026-03,Футболка базовая,футболки,Шоурум,7,1900,13300,0
2026-03,Футболка принт,футболки,Сайт,13,2400,31200,0
2026-03,Футболка принт,футболки,Wildberries,11,2400,26400,0
2026-03,Футболка принт,футболки,Ozon,27,2400,64800,0
2026-03,Футболка принт,футболки,Шоурум,10,2400,24000,0
2026-03,Свитшот,свитшоты,Сайт,23,4200,96600,0
2026-03,Свитшот,свитшоты,Wildberries,13,4200,54600,1
2026-03,Свитшот,свитшоты,Ozon,29,4200,121800,2
2026-03,Свитшот,свитшоты,Шоурум,9,4200,37800,0
2026-03,Брюки карго,брюки,Сайт,9,5900,53100,0
2026-03,Брюки карго,брюки,Wildberries,14,5900,82600,0
2026-03,Брюки карго,брюки,Ozon,19,5900,112100,2
2026-03,Брюки карго,брюки,Шоурум,3,5900,17700,0
2026-03,Шорты,шорты,Сайт,16,2900,46400,0
2026-03,Шорты,шорты,Wildberries,23,2900,66700,2
2026-03,Шорты,шорты,Ozon,19,2900,55100,2
2026-03,Шорты,шорты,Шоурум,5,2900,14500,0
2026-03,Кепка,аксессуары,Сайт,22,1500,33000,0
2026-03,Кепка,аксессуары,Wildberries,14,1500,21000,1
2026-03,Кепка,аксессуары,Ozon,19,1500,28500,1
2026-03,Кепка,аксессуары,Шоурум,7,1500,10500,0
2026-03,Шапка бини,аксессуары,Сайт,21,1700,35700,0
2026-03,Шапка бини,аксессуары,Wildberries,13,1700,22100,0
2026-03,Шапка бини,аксессуары,Ozon,11,1700,18700,0
2026-03,Шапка бини,аксессуары,Шоурум,10,1700,17000,0
2026-03,Костюм спорт,костюмы,Сайт,20,8900,178000,0
2026-03,Костюм спорт,костюмы,Wildberries,14,8900,124600,0
2026-03,Костюм спорт,костюмы,Ozon,17,8900,151300,1
2026-03,Костюм спорт,костюмы,Шоурум,10,8900,89000,0
2026-04,Худи oversize,худи,Сайт,21,4900,102900,0
2026-04,Худи oversize,худи,Wildberries,35,4900,171500,1
2026-04,Худи oversize,худи,Ozon,16,4900,78400,1
2026-04,Худи oversize,худи,Шоурум,6,4900,29400,0
2026-04,Худи zip,худи,Сайт,11,5400,59400,0
2026-04,Худи zip,худи,Wildberries,26,5400,140400,2
2026-04,Худи zip,худи,Ozon,22,5400,118800,0
2026-04,Худи zip,худи,Шоурум,12,5400,64800,0
2026-04,Футболка базовая,футболки,Сайт,15,1900,28500,0
2026-04,Футболка базовая,футболки,Wildberries,18,1900,34200,1
2026-04,Футболка базовая,футболки,Ozon,18,1900,34200,1
2026-04,Футболка базовая,футболки,Шоурум,8,1900,15200,0
2026-04,Футболка принт,футболки,Сайт,24,2400,57600,0
2026-04,Футболка принт,футболки,Wildberries,53,2400,127200,3
2026-04,Футболка принт,футболки,Ozon,16,2400,38400,0
2026-04,Футболка принт,футболки,Шоурум,6,2400,14400,0
2026-04,Свитшот,свитшоты,Сайт,14,4200,58800,0
2026-04,Свитшот,свитшоты,Wildberries,54,4200,226800,5
2026-04,Свитшот,свитшоты,Ozon,16,4200,67200,0
2026-04,Свитшот,свитшоты,Шоурум,8,4200,33600,0
2026-04,Брюки карго,брюки,Сайт,21,5900,123900,0
2026-04,Брюки карго,брюки,Wildberries,27,5900,159300,1
2026-04,Брюки карго,брюки,Ozon,24,5900,141600,2
2026-04,Брюки карго,брюки,Шоурум,5,5900,29500,0
2026-04,Шорты,шорты,Сайт,16,2900,46400,0
2026-04,Шорты,шорты,Wildberries,42,2900,121800,3
2026-04,Шорты,шорты,Ozon,22,2900,63800,1
2026-04,Шорты,шорты,Шоурум,9,2900,26100,0
2026-04,Кепка,аксессуары,Сайт,18,1500,27000,0
2026-04,Кепка,аксессуары,Wildberries,51,1500,76500,5
2026-04,Кепка,аксессуары,Ozon,19,1500,28500,0
2026-04,Кепка,аксессуары,Шоурум,7,1500,10500,0
2026-04,Шапка бини,аксессуары,Сайт,24,1700,40800,0
2026-04,Шапка бини,аксессуары,Wildberries,32,1700,54400,1
2026-04,Шапка бини,аксессуары,Ozon,19,1700,32300,2
2026-04,Шапка бини,аксессуары,Шоурум,7,1700,11900,0
2026-04,Костюм спорт,костюмы,Сайт,12,8900,106800,0
2026-04,Костюм спорт,костюмы,Wildberries,29,8900,258100,1
2026-04,Костюм спорт,костюмы,Ozon,19,8900,169100,0
2026-04,Костюм спорт,костюмы,Шоурум,6,8900,53400,0
2026-05,Худи oversize,худи,Сайт,11,4900,53900,0
2026-05,Худи oversize,худи,Wildberries,50,4900,245000,2
2026-05,Худи oversize,худи,Ozon,23,4900,112700,0
2026-05,Худи oversize,худи,Шоурум,9,4900,44100,0
2026-05,Худи zip,худи,Сайт,18,5400,97200,0
2026-05,Худи zip,худи,Wildberries,36,5400,194400,2
2026-05,Худи zip,худи,Ozon,25,5400,135000,1
2026-05,Худи zip,худи,Шоурум,6,5400,32400,0
2026-05,Футболка базовая,футболки,Сайт,27,1900,51300,0
2026-05,Футболка базовая,футболки,Wildberries,63,1900,119700,4
2026-05,Футболка базовая,футболки,Ozon,35,1900,66500,1
2026-05,Футболка базовая,футболки,Шоурум,16,1900,30400,0
2026-05,Футболка принт,футболки,Сайт,27,2400,64800,0
2026-05,Футболка принт,футболки,Wildberries,61,2400,146400,6
2026-05,Футболка принт,футболки,Ozon,46,2400,110400,5
2026-05,Футболка принт,футболки,Шоурум,13,2400,31200,0
2026-05,Свитшот,свитшоты,Сайт,27,4200,113400,0
2026-05,Свитшот,свитшоты,Wildberries,46,4200,193200,5
2026-05,Свитшот,свитшоты,Ozon,19,4200,79800,0
2026-05,Свитшот,свитшоты,Шоурум,5,4200,21000,0
2026-05,Брюки карго,брюки,Сайт,16,5900,94400,0
2026-05,Брюки карго,брюки,Wildberries,16,5900,94400,1
2026-05,Брюки карго,брюки,Ozon,9,5900,53100,0
2026-05,Брюки карго,брюки,Шоурум,2,5900,11800,0
2026-05,Шорты,шорты,Сайт,32,2900,92800,0
2026-05,Шорты,шорты,Wildberries,69,2900,200100,8
2026-05,Шорты,шорты,Ozon,41,2900,118900,4
2026-05,Шорты,шорты,Шоурум,13,2900,37700,0
2026-05,Кепка,аксессуары,Сайт,17,1500,25500,0
2026-05,Кепка,аксессуары,Wildberries,42,1500,63000,4
2026-05,Кепка,аксессуары,Ozon,14,1500,21000,1
2026-05,Кепка,аксессуары,Шоурум,10,1500,15000,0
2026-05,Шапка бини,аксессуары,Сайт,19,1700,32300,0
2026-05,Шапка бини,аксессуары,Wildberries,30,1700,51000,2
2026-05,Шапка бини,аксессуары,Ozon,33,1700,56100,1
2026-05,Шапка бини,аксессуары,Шоурум,8,1700,13600,0
2026-05,Костюм спорт,костюмы,Сайт,15,8900,133500,0
2026-05,Костюм спорт,костюмы,Wildberries,37,8900,329300,1
2026-05,Костюм спорт,костюмы,Ozon,18,8900,160200,0
2026-05,Костюм спорт,костюмы,Шоурум,12,8900,106800,0
2026-06,Худи oversize,худи,Сайт,8,4900,39200,0
2026-06,Худи oversize,худи,Wildberries,26,4900,127400,2
2026-06,Худи oversize,худи,Ozon,16,4900,78400,0
2026-06,Худи oversize,худи,Шоурум,9,4900,44100,0
2026-06,Худи zip,худи,Сайт,9,5400,48600,0
2026-06,Худи zip,худи,Wildberries,41,5400,221400,2
2026-06,Худи zip,худи,Ozon,21,5400,113400,2
2026-06,Худи zip,худи,Шоурум,10,5400,54000,0
2026-06,Футболка базовая,футболки,Сайт,36,1900,68400,0
2026-06,Футболка базовая,футболки,Wildberries,77,1900,146300,6
2026-06,Футболка базовая,футболки,Ozon,35,1900,66500,2
2026-06,Футболка базовая,футболки,Шоурум,12,1900,22800,0
2026-06,Футболка принт,футболки,Сайт,35,2400,84000,0
2026-06,Футболка принт,футболки,Wildberries,65,2400,156000,6
2026-06,Футболка принт,футболки,Ozon,42,2400,100800,3
2026-06,Футболка принт,футболки,Шоурум,14,2400,33600,0
2026-06,Свитшот,свитшоты,Сайт,18,4200,75600,0
2026-06,Свитшот,свитшоты,Wildberries,35,4200,147000,3
2026-06,Свитшот,свитшоты,Ozon,27,4200,113400,2
2026-06,Свитшот,свитшоты,Шоурум,4,4200,16800,0
2026-06,Брюки карго,брюки,Сайт,5,5900,29500,0
2026-06,Брюки карго,брюки,Wildberries,36,5900,212400,2
2026-06,Брюки карго,брюки,Ozon,17,5900,100300,1
2026-06,Брюки карго,брюки,Шоурум,6,5900,35400,0
2026-06,Шорты,шорты,Сайт,25,2900,72500,0
2026-06,Шорты,шорты,Wildberries,56,2900,162400,2
2026-06,Шорты,шорты,Ozon,40,2900,116000,1
2026-06,Шорты,шорты,Шоурум,14,2900,40600,0
2026-06,Кепка,аксессуары,Сайт,13,1500,19500,0
2026-06,Кепка,аксессуары,Wildberries,36,1500,54000,1
2026-06,Кепка,аксессуары,Ozon,26,1500,39000,2
2026-06,Кепка,аксессуары,Шоурум,8,1500,12000,0
2026-06,Шапка бини,аксессуары,Сайт,18,1700,30600,0
2026-06,Шапка бини,аксессуары,Wildberries,42,1700,71400,1
2026-06,Шапка бини,аксессуары,Ozon,23,1700,39100,2
2026-06,Шапка бини,аксессуары,Шоурум,10,1700,17000,0
2026-06,Костюм спорт,костюмы,Сайт,18,8900,160200,0
2026-06,Костюм спорт,костюмы,Wildberries,50,8900,445000,5
2026-06,Костюм спорт,костюмы,Ozon,25,8900,222500,1
2026-06,Костюм спорт,костюмы,Шоурум,7,8900,62300,0
2026-07,Худи oversize,худи,Сайт,18,4900,88200,0
2026-07,Худи oversize,худи,Wildberries,23,4900,112700,2
2026-07,Худи oversize,худи,Ozon,19,4900,93100,2
2026-07,Худи oversize,худи,Шоурум,9,4900,44100,0
2026-07,Худи zip,худи,Сайт,9,5400,48600,0
2026-07,Худи zip,худи,Wildberries,32,5400,172800,2
2026-07,Худи zip,худи,Ozon,28,5400,151200,1
2026-07,Худи zip,худи,Шоурум,8,5400,43200,0
2026-07,Футболка базовая,футболки,Сайт,32,1900,60800,0
2026-07,Футболка базовая,футболки,Wildberries,63,1900,119700,2
2026-07,Футболка базовая,футболки,Ozon,47,1900,89300,2
2026-07,Футболка базовая,футболки,Шоурум,15,1900,28500,0
2026-07,Футболка принт,футболки,Сайт,28,2400,67200,0
2026-07,Футболка принт,футболки,Wildberries,75,2400,180000,8
2026-07,Футболка принт,футболки,Ozon,36,2400,86400,3
2026-07,Футболка принт,футболки,Шоурум,15,2400,36000,0
2026-07,Свитшот,свитшоты,Сайт,14,4200,58800,0
2026-07,Свитшот,свитшоты,Wildberries,41,4200,172200,3
2026-07,Свитшот,свитшоты,Ozon,22,4200,92400,2
2026-07,Свитшот,свитшоты,Шоурум,10,4200,42000,0
2026-07,Брюки карго,брюки,Сайт,5,5900,29500,0
2026-07,Брюки карго,брюки,Wildberries,21,5900,123900,2
2026-07,Брюки карго,брюки,Ozon,13,5900,76700,1
2026-07,Брюки карго,брюки,Шоурум,6,5900,35400,0
2026-07,Шорты,шорты,Сайт,27,2900,78300,0
2026-07,Шорты,шорты,Wildberries,66,2900,191400,4
2026-07,Шорты,шорты,Ozon,41,2900,118900,3
2026-07,Шорты,шорты,Шоурум,14,2900,40600,0
2026-07,Кепка,аксессуары,Сайт,22,1500,33000,0
2026-07,Кепка,аксессуары,Wildberries,38,1500,57000,4
2026-07,Кепка,аксессуары,Ozon,19,1500,28500,2
2026-07,Кепка,аксессуары,Шоурум,8,1500,12000,0
2026-07,Шапка бини,аксессуары,Сайт,14,1700,23800,0
2026-07,Шапка бини,аксессуары,Wildberries,28,1700,47600,1
2026-07,Шапка бини,аксессуары,Ozon,23,1700,39100,2
2026-07,Шапка бини,аксессуары,Шоурум,4,1700,6800,0
2026-07,Костюм спорт,костюмы,Сайт,19,8900,169100,0
2026-07,Костюм спорт,костюмы,Wildberries,40,8900,356000,2
2026-07,Костюм спорт,костюмы,Ozon,23,8900,204700,1
