Месяц,Клиент,Откуда пришёл,Формат,"Стоимость, ₽",Повторный,Роль клиента
2025-12,Клиент 114,Telegram,Личная сессия,7000,нет,собственник
2025-12,Клиент 115,Выступление,Стратегическая сессия,25000,да,руководитель
2025-12,Клиент 116,Instagram,Личная сессия,7000,да,специалист
2025-12,Клиент 117,Сайт,Онлайн,6000,нет,специалист
2025-12,Клиент 118,Рекомендация,Личная сессия,7000,да,специалист
2025-12,Клиент 119,Instagram,Онлайн,6000,да,собственник
2025-12,Клиент 120,Выступление,Стратегическая сессия,25000,да,специалист
2025-12,Клиент 121,Сайт,Онлайн,6000,да,руководитель
2025-12,Клиент 122,Выступление,Личная сессия,7000,да,руководитель
2025-12,Клиент 123,Instagram,Онлайн,6000,да,собственник
2025-12,Клиент 124,Рекомендация,Личная сессия,7000,да,руководитель
2025-12,Клиент 125,Выступление,Онлайн,6000,нет,специалист
2025-12,Клиент 126,Telegram,Стратегическая сессия,25000,да,собственник
2025-12,Клиент 127,Рекомендация,Личная сессия,7000,нет,собственник
2025-12,Клиент 128,Рекомендация,Онлайн,6000,да,руководитель
2025-12,Клиент 129,Рекомендация,Личная сессия,7000,да,собственник
2026-01,Клиент 130,Telegram,Онлайн,6000,нет,собственник
2026-01,Клиент 131,Рекомендация,Онлайн,6000,да,руководитель
2026-01,Клиент 132,Telegram,Личная сессия,7000,нет,специалист
2026-01,Клиент 133,Сайт,Онлайн,6000,да,специалист
2026-01,Клиент 134,Instagram,Группа,3500,да,специалист
2026-01,Клиент 135,Сайт,Онлайн,6000,да,специалист
2026-01,Клиент 136,Рекомендация,Стратегическая сессия,25000,нет,руководитель
2026-01,Клиент 137,Сайт,Личная сессия,7000,да,собственник
2026-01,Клиент 138,Instagram,Онлайн,6000,да,собственник
2026-01,Клиент 139,Instagram,Онлайн,6000,нет,собственник
2026-01,Клиент 140,Рекомендация,Личная сессия,7000,да,специалист
2026-01,Клиент 141,Instagram,Личная сессия,7000,да,руководитель
2026-01,Клиент 142,Telegram,Стратегическая сессия,25000,да,специалист
2026-01,Клиент 143,Instagram,Стратегическая сессия,25000,нет,руководитель
2026-01,Клиент 144,Рекомендация,Личная сессия,7000,да,собственник
2026-01,Клиент 145,Telegram,Онлайн,6000,да,специалист
2026-01,Клиент 146,Instagram,Онлайн,6000,да,руководитель
2026-01,Клиент 147,Рекомендация,Личная сессия,7000,нет,собственник
2026-01,Клиент 148,Instagram,Группа,3500,да,руководитель
2026-01,Клиент 149,Рекомендация,Стратегическая сессия,25000,нет,специалист
2026-01,Клиент 150,Рекомендация,Группа,3500,да,специалист
2026-01,Клиент 151,Сайт,Онлайн,6000,нет,специалист
2026-01,Клиент 152,Telegram,Онлайн,6000,нет,руководитель
2026-01,Клиент 153,Instagram,Онлайн,6000,нет,специалист
2026-01,Клиент 154,Instagram,Онлайн,6000,нет,специалист
2026-01,Клиент 155,Telegram,Личная сессия,7000,нет,специалист
2026-01,Клиент 156,Сайт,Личная сессия,7000,да,собственник
2026-01,Клиент 157,Выступление,Онлайн,6000,да,собственник
2026-01,Клиент 158,Рекомендация,Онлайн,6000,да,специалист
2026-01,Клиент 159,Сайт,Личная сессия,7000,да,руководитель
2026-01,Клиент 160,Telegram,Группа,3500,нет,руководитель
2026-02,Клиент 161,Рекомендация,Личная сессия,7000,нет,специалист
2026-02,Клиент 162,Telegram,Личная сессия,7000,нет,специалист
2026-02,Клиент 163,Telegram,Личная сессия,7000,да,руководитель
2026-02,Клиент 164,Рекомендация,Группа,3500,да,собственник
2026-02,Клиент 165,Рекомендация,Личная сессия,7000,да,руководитель
2026-02,Клиент 166,Сайт,Онлайн,6000,нет,специалист
2026-02,Клиент 167,Рекомендация,Личная сессия,7000,да,руководитель
2026-02,Клиент 168,Instagram,Онлайн,6000,да,специалист
2026-02,Клиент 169,Рекомендация,Личная сессия,7000,нет,руководитель
2026-02,Клиент 170,Рекомендация,Личная сессия,7000,да,руководитель
2026-02,Клиент 171,Рекомендация,Онлайн,6000,нет,специалист
2026-02,Клиент 172,Рекомендация,Личная сессия,7000,да,собственник
2026-02,Клиент 173,Telegram,Онлайн,6000,да,специалист
2026-02,Клиент 174,Instagram,Онлайн,6000,да,руководитель
2026-02,Клиент 175,Рекомендация,Группа,3500,нет,специалист
2026-02,Клиент 176,Выступление,Онлайн,6000,да,специалист
2026-02,Клиент 177,Сайт,Личная сессия,7000,нет,специалист
2026-02,Клиент 178,Выступление,Личная сессия,7000,да,собственник
2026-02,Клиент 179,Telegram,Личная сессия,7000,да,собственник
2026-02,Клиент 180,Рекомендация,Личная сессия,7000,нет,специалист
2026-02,Клиент 181,Telegram,Стратегическая сессия,25000,нет,специалист
2026-02,Клиент 182,Рекомендация,Личная сессия,7000,нет,собственник
2026-02,Клиент 183,Рекомендация,Личная сессия,7000,да,собственник
2026-02,Клиент 184,Instagram,Личная сессия,7000,да,руководитель
2026-02,Клиент 185,Рекомендация,Группа,3500,нет,собственник
2026-02,Клиент 186,Telegram,Онлайн,6000,да,собственник
2026-02,Клиент 187,Сайт,Личная сессия,7000,да,собственник
2026-02,Клиент 188,Instagram,Стратегическая сессия,25000,нет,собственник
2026-02,Клиент 189,Instagram,Личная сессия,7000,нет,собственник
2026-02,Клиент 190,Рекомендация,Личная сессия,7000,нет,собственник
2026-02,Клиент 191,Instagram,Личная сессия,7000,да,специалист
2026-02,Клиент 192,Рекомендация,Личная сессия,7000,нет,собственник
2026-03,Клиент 193,Выступление,Онлайн,6000,да,собственник
2026-03,Клиент 194,Instagram,Личная сессия,7000,да,руководитель
2026-03,Клиент 195,Сайт,Онлайн,6000,да,специалист
2026-03,Клиент 196,Рекомендация,Личная сессия,7000,да,собственник
2026-03,Клиент 197,Сайт,Личная сессия,7000,да,специалист
2026-03,Клиент 198,Instagram,Онлайн,6000,да,собственник
2026-03,Клиент 199,Instagram,Группа,3500,нет,собственник
2026-03,Клиент 200,Рекомендация,Личная сессия,7000,нет,специалист
2026-03,Клиент 201,Telegram,Группа,3500,нет,собственник
2026-03,Клиент 202,Рекомендация,Группа,3500,нет,руководитель
2026-03,Клиент 203,Рекомендация,Личная сессия,7000,да,собственник
2026-03,Клиент 204,Рекомендация,Онлайн,6000,нет,специалист
2026-03,Клиент 205,Рекомендация,Онлайн,6000,да,собственник
2026-03,Клиент 206,Instagram,Личная сессия,7000,нет,руководитель
2026-03,Клиент 207,Instagram,Личная сессия,7000,нет,собственник
2026-03,Клиент 208,Сайт,Онлайн,6000,да,собственник
2026-03,Клиент 209,Instagram,Личная сессия,7000,нет,собственник
2026-03,Клиент 210,Рекомендация,Онлайн,6000,да,собственник
2026-03,Клиент 211,Telegram,Личная сессия,7000,нет,руководитель
2026-03,Клиент 212,Рекомендация,Онлайн,6000,да,руководитель
2026-03,Клиент 213,Telegram,Онлайн,6000,да,руководитель
2026-03,Клиент 214,Instagram,Онлайн,6000,да,руководитель
2026-03,Клиент 215,Рекомендация,Онлайн,6000,да,специалист
2026-03,Клиент 216,Telegram,Онлайн,6000,да,специалист
2026-03,Клиент 217,Telegram,Стратегическая сессия,25000,нет,руководитель
2026-03,Клиент 218,Рекомендация,Личная сессия,7000,да,руководитель
2026-03,Клиент 219,Telegram,Личная сессия,7000,да,специалист
2026-03,Клиент 220,Telegram,Группа,3500,да,специалист
2026-03,Клиент 221,Рекомендация,Личная сессия,7000,да,руководитель
2026-03,Клиент 222,Instagram,Онлайн,6000,да,собственник
2026-03,Клиент 223,Рекомендация,Личная сессия,7000,нет,специалист
2026-03,Клиент 224,Рекомендация,Онлайн,6000,нет,руководитель
2026-03,Клиент 225,Instagram,Личная сессия,7000,да,руководитель
2026-03,Клиент 226,Рекомендация,Личная сессия,7000,да,специалист
2026-03,Клиент 227,Instagram,Личная сессия,7000,да,руководитель
2026-03,Клиент 228,Instagram,Онлайн,6000,да,руководитель
2026-03,Клиент 229,Сайт,Группа,3500,нет,специалист
2026-04,Клиент 230,Рекомендация,Личная сессия,7000,да,собственник
2026-04,Клиент 231,Сайт,Онлайн,6000,нет,собственник
2026-04,Клиент 232,Рекомендация,Онлайн,6000,да,собственник
2026-04,Клиент 233,Instagram,Онлайн,6000,нет,специалист
2026-04,Клиент 234,Сайт,Личная сессия,7000,нет,специалист
2026-04,Клиент 235,Telegram,Личная сессия,7000,да,руководитель
2026-04,Клиент 236,Рекомендация,Стратегическая сессия,25000,да,собственник
2026-04,Клиент 237,Рекомендация,Онлайн,6000,да,руководитель
2026-04,Клиент 238,Рекомендация,Личная сессия,7000,да,собственник
2026-04,Клиент 239,Рекомендация,Личная сессия,7000,да,собственник
2026-04,Клиент 240,Instagram,Стратегическая сессия,25000,да,руководитель
2026-04,Клиент 241,Рекомендация,Личная сессия,7000,да,собственник
2026-04,Клиент 242,Telegram,Онлайн,6000,нет,специалист
2026-04,Клиент 243,Telegram,Личная сессия,7000,да,специалист
2026-04,Клиент 244,Рекомендация,Личная сессия,7000,нет,собственник
2026-04,Клиент 245,Instagram,Личная сессия,7000,да,собственник
2026-04,Клиент 246,Telegram,Личная сессия,7000,да,собственник
2026-04,Клиент 247,Рекомендация,Группа,3500,нет,специалист
2026-04,Клиент 248,Instagram,Личная сессия,7000,да,руководитель
2026-04,Клиент 249,Instagram,Онлайн,6000,да,собственник
2026-04,Клиент 250,Telegram,Группа,3500,нет,собственник
2026-04,Клиент 251,Рекомендация,Личная сессия,7000,нет,собственник
2026-04,Клиент 252,Рекомендация,Онлайн,6000,да,специалист
2026-04,Клиент 253,Выступление,Онлайн,6000,да,специалист
2026-04,Клиент 254,Рекомендация,Стратегическая сессия,25000,да,руководитель
2026-04,Клиент 255,Сайт,Онлайн,6000,да,руководитель
2026-04,Клиент 256,Instagram,Личная сессия,7000,нет,собственник
2026-04,Клиент 257,Выступление,Онлайн,6000,да,собственник
2026-04,Клиент 258,Выступление,Онлайн,6000,нет,руководитель
2026-04,Клиент 259,Рекомендация,Группа,3500,да,руководитель
2026-04,Клиент 260,Сайт,Личная сессия,7000,да,специалист
2026-04,Клиент 261,Instagram,Личная сессия,7000,да,руководитель
2026-04,Клиент 262,Выступление,Группа,3500,да,специалист
2026-04,Клиент 263,Рекомендация,Группа,3500,да,специалист
2026-04,Клиент 264,Рекомендация,Личная сессия,7000,да,специалист
2026-04,Клиент 265,Рекомендация,Онлайн,6000,да,специалист
2026-04,Клиент 266,Instagram,Личная сессия,7000,да,специалист
2026-04,Клиент 267,Instagram,Онлайн,6000,да,специалист
2026-04,Клиент 268,Telegram,Личная сессия,7000,нет,специалист
2026-04,Клиент 269,Рекомендация,Группа,3500,нет,специалист
2026-05,Клиент 270,Telegram,Онлайн,6000,да,собственник
2026-05,Клиент 271,Telegram,Личная сессия,7000,да,руководитель
2026-05,Клиент 272,Telegram,Онлайн,6000,да,специалист
2026-05,Клиент 273,Рекомендация,Стратегическая сессия,25000,да,специалист
2026-05,Клиент 274,Сайт,Личная сессия,7000,да,руководитель
2026-05,Клиент 275,Рекомендация,Онлайн,6000,нет,собственник
2026-05,Клиент 276,Сайт,Онлайн,6000,нет,собственник
2026-05,Клиент 277,Рекомендация,Онлайн,6000,да,собственник
2026-05,Клиент 278,Сайт,Онлайн,6000,нет,собственник
2026-05,Клиент 279,Сайт,Группа,3500,нет,руководитель
2026-05,Клиент 280,Instagram,Онлайн,6000,да,собственник
2026-05,Клиент 281,Instagram,Личная сессия,7000,да,собственник
2026-05,Клиент 282,Сайт,Личная сессия,7000,да,специалист
2026-05,Клиент 283,Сайт,Личная сессия,7000,да,руководитель
2026-05,Клиент 284,Рекомендация,Личная сессия,7000,да,руководитель
2026-05,Клиент 285,Рекомендация,Онлайн,6000,да,специалист
2026-05,Клиент 286,Выступление,Личная сессия,7000,да,руководитель
2026-05,Клиент 287,Сайт,Личная сессия,7000,да,специалист
2026-05,Клиент 288,Telegram,Группа,3500,да,руководитель
2026-05,Клиент 289,Instagram,Группа,3500,да,собственник
2026-05,Клиент 290,Telegram,Онлайн,6000,нет,собственник
2026-05,Клиент 291,Telegram,Личная сессия,7000,да,руководитель
2026-05,Клиент 292,Выступление,Стратегическая сессия,25000,да,собственник
2026-05,Клиент 293,Instagram,Группа,3500,да,специалист
2026-05,Клиент 294,Выступление,Личная сессия,7000,нет,руководитель
2026-05,Клиент 295,Telegram,Стратегическая сессия,25000,да,специалист
2026-05,Клиент 296,Рекомендация,Онлайн,6000,да,руководитель
2026-05,Клиент 297,Instagram,Группа,3500,нет,собственник
2026-05,Клиент 298,Выступление,Онлайн,6000,да,собственник
2026-05,Клиент 299,Instagram,Личная сессия,7000,да,руководитель
2026-05,Клиент 300,Рекомендация,Группа,3500,нет,специалист
2026-05,Клиент 301,Telegram,Онлайн,6000,да,специалист
2026-05,Клиент 302,Выступление,Онлайн,6000,нет,специалист
2026-05,Клиент 303,Telegram,Личная сессия,7000,нет,собственник
2026-05,Клиент 304,Рекомендация,Онлайн,6000,да,руководитель
2026-05,Клиент 305,Рекомендация,Онлайн,6000,нет,специалист
2026-05,Клиент 306,Сайт,Личная сессия,7000,да,специалист
2026-05,Клиент 307,Рекомендация,Личная сессия,7000,да,специалист
2026-05,Клиент 308,Instagram,Группа,3500,да,руководитель
2026-05,Клиент 309,Instagram,Группа,3500,да,специалист
2026-05,Клиент 310,Instagram,Онлайн,6000,да,руководитель
2026-06,Клиент 311,Instagram,Личная сессия,7000,да,руководитель
2026-06,Клиент 312,Рекомендация,Личная сессия,7000,да,собственник
2026-06,Клиент 313,Сайт,Личная сессия,7000,да,руководитель
2026-06,Клиент 314,Сайт,Группа,3500,да,собственник
2026-06,Клиент 315,Instagram,Личная сессия,7000,да,специалист
2026-06,Клиент 316,Выступление,Личная сессия,7000,да,специалист
2026-06,Клиент 317,Рекомендация,Группа,3500,да,руководитель
2026-06,Клиент 318,Рекомендация,Группа,3500,да,руководитель
2026-06,Клиент 319,Рекомендация,Группа,3500,да,собственник
2026-06,Клиент 320,Рекомендация,Группа,3500,да,собственник
2026-06,Клиент 321,Выступление,Группа,3500,да,руководитель
2026-06,Клиент 322,Telegram,Группа,3500,да,руководитель
2026-06,Клиент 323,Рекомендация,Онлайн,6000,да,собственник
2026-06,Клиент 324,Instagram,Онлайн,6000,да,специалист
2026-06,Клиент 325,Рекомендация,Личная сессия,7000,да,руководитель
2026-06,Клиент 326,Instagram,Стратегическая сессия,25000,да,руководитель
2026-06,Клиент 327,Рекомендация,Онлайн,6000,да,руководитель
2026-06,Клиент 328,Рекомендация,Личная сессия,7000,нет,руководитель
2026-06,Клиент 329,Рекомендация,Личная сессия,7000,нет,специалист
2026-06,Клиент 330,Telegram,Стратегическая сессия,25000,нет,собственник
2026-06,Клиент 331,Сайт,Онлайн,6000,да,специалист
2026-06,Клиент 332,Рекомендация,Онлайн,6000,да,собственник
2026-06,Клиент 333,Telegram,Личная сессия,7000,да,собственник
2026-06,Клиент 334,Рекомендация,Личная сессия,7000,да,собственник
2026-06,Клиент 335,Выступление,Онлайн,6000,да,руководитель
2026-06,Клиент 336,Рекомендация,Онлайн,6000,нет,руководитель
2026-06,Клиент 337,Instagram,Стратегическая сессия,25000,да,специалист
2026-06,Клиент 338,Выступление,Личная сессия,7000,да,специалист
2026-06,Клиент 339,Telegram,Личная сессия,7000,нет,собственник
2026-06,Клиент 340,Instagram,Личная сессия,7000,да,руководитель
2026-06,Клиент 341,Сайт,Личная сессия,7000,да,руководитель
2026-06,Клиент 342,Instagram,Онлайн,6000,да,специалист
2026-06,Клиент 343,Сайт,Группа,3500,да,специалист
2026-06,Клиент 344,Сайт,Личная сессия,7000,нет,специалист
2026-06,Клиент 345,Telegram,Стратегическая сессия,25000,да,руководитель
2026-06,Клиент 346,Instagram,Личная сессия,7000,да,специалист
2026-07,Клиент 347,Telegram,Онлайн,6000,да,специалист
2026-07,Клиент 348,Instagram,Стратегическая сессия,25000,да,собственник
2026-07,Клиент 349,Сайт,Личная сессия,7000,нет,собственник
2026-07,Клиент 350,Рекомендация,Личная сессия,7000,да,руководитель
2026-07,Клиент 351,Telegram,Онлайн,6000,нет,руководитель
2026-07,Клиент 352,Рекомендация,Личная сессия,7000,да,собственник
2026-07,Клиент 353,Instagram,Группа,3500,да,руководитель
2026-07,Клиент 354,Telegram,Онлайн,6000,да,специалист
2026-07,Клиент 355,Рекомендация,Стратегическая сессия,25000,да,руководитель
2026-07,Клиент 356,Telegram,Онлайн,6000,нет,собственник
2026-07,Клиент 357,Instagram,Личная сессия,7000,да,специалист
2026-07,Клиент 358,Рекомендация,Личная сессия,7000,да,специалист
2026-07,Клиент 359,Telegram,Онлайн,6000,да,собственник
2026-07,Клиент 360,Рекомендация,Онлайн,6000,да,руководитель
2026-07,Клиент 361,Рекомендация,Личная сессия,7000,нет,собственник
2026-07,Клиент 362,Рекомендация,Стратегическая сессия,25000,да,специалист
2026-07,Клиент 363,Instagram,Онлайн,6000,да,руководитель
2026-07,Клиент 364,Сайт,Личная сессия,7000,да,собственник
2026-07,Клиент 365,Рекомендация,Онлайн,6000,да,собственник
2026-07,Клиент 366,Telegram,Онлайн,6000,да,собственник
2026-07,Клиент 367,Сайт,Группа,3500,да,собственник
2026-08,Клиент 368,Рекомендация,Личная сессия,7000,нет,собственник
2026-08,Клиент 369,Выступление,Онлайн,6000,нет,специалист
2026-08,Клиент 370,Рекомендация,Личная сессия,7000,нет,руководитель
2026-08,Клиент 371,Instagram,Стратегическая сессия,25000,да,руководитель
2026-08,Клиент 372,Telegram,Стратегическая сессия,25000,да,собственник
2026-08,Клиент 373,Рекомендация,Личная сессия,7000,да,руководитель
2026-08,Клиент 374,Рекомендация,Онлайн,6000,нет,специалист
2026-08,Клиент 375,Выступление,Стратегическая сессия,25000,нет,руководитель
2026-08,Клиент 376,Рекомендация,Онлайн,6000,да,собственник
2026-08,Клиент 377,Рекомендация,Личная сессия,7000,нет,собственник
2026-08,Клиент 378,Telegram,Личная сессия,7000,нет,собственник
2026-08,Клиент 379,Telegram,Личная сессия,7000,нет,специалист
2026-08,Клиент 380,Выступление,Стратегическая сессия,25000,да,собственник
2026-08,Клиент 381,Сайт,Личная сессия,7000,нет,руководитель
2026-08,Клиент 382,Instagram,Личная сессия,7000,нет,специалист
2026-08,Клиент 383,Рекомендация,Личная сессия,7000,нет,собственник
2026-08,Клиент 384,Рекомендация,Онлайн,6000,да,специалист
2026-08,Клиент 385,Instagram,Онлайн,6000,да,специалист
2026-08,Клиент 386,Рекомендация,Группа,3500,да,специалист
2026-08,Клиент 387,Рекомендация,Онлайн,6000,да,собственник
2026-08,Клиент 388,Рекомендация,Личная сессия,7000,да,руководитель
2026-08,Клиент 389,Сайт,Группа,3500,да,собственник
2026-08,Клиент 390,Сайт,Онлайн,6000,да,руководитель
2026-08,Клиент 391,Сайт,Личная сессия,7000,да,собственник
2026-08,Клиент 392,Рекомендация,Личная сессия,7000,да,руководитель
2026-08,Клиент 393,Рекомендация,Онлайн,6000,нет,собственник
2026-08,Клиент 394,Telegram,Группа,3500,да,собственник
2026-08,Клиент 395,Telegram,Онлайн,6000,да,собственник
2026-08,Клиент 396,Сайт,Группа,3500,нет,специалист
2026-08,Клиент 397,Рекомендация,Онлайн,6000,нет,собственник
2026-08,Клиент 398,Рекомендация,Личная сессия,7000,да,руководитель
2026-08,Клиент 399,Сайт,Личная сессия,7000,да,собственник
2026-08,Клиент 400,Рекомендация,Личная сессия,7000,нет,специалист
2026-08,Клиент 401,Telegram,Личная сессия,7000,нет,руководитель
